System,Iteration,NoiseType,NoiseLevel,Miner,Precision,LogFitness,Generalization,Simplicity
Sepsis,1,i-a-o-s,1.5,inductive,0.17199215639133902,1.0,0.7351070199838381,0.6202531645569621
Sepsis,1,i-a-o-s,2.0,alpha,0.18299745193421357,0.1368992861582493,0.5519806455008527,0.6727272727272727
Sepsis,1,i-a-o-s,2.0,heuristic,0.6772984829098885,0.8937042161040467,0.699971730453818,0.45017182130584193
Sepsis,1,i-a-o-s,2.0,inductive,0.15243526862096501,1.0,0.7002688634445428,0.6047904191616766
Sepsis,2,a,0.5,alpha,0.44241915161696765,0.2658953515238921,0.9131722840487979,0.4782608695652174
Sepsis,2,a,0.5,heuristic,0.7996571339515313,0.8857375389676254,0.8302885134719663,0.4409448818897638
Sepsis,2,a,0.5,inductive,0.28325388885619573,1.0,0.8889313358148173,0.6054421768707484
Sepsis,2,a,1.0,alpha,0.4421962891444883,0.2658995458963823,0.9131353810380558,0.4782608695652174
Sepsis,2,a,1.0,heuristic,0.7996727442730248,0.8855491346646821,0.8305944005846864,0.4409448818897638
Sepsis,2,a,1.0,inductive,0.2778657672503896,1.0,0.8772241353179682,0.6000000000000001
Sepsis,2,a,1.5,alpha,0.4421962891444883,0.2657180504829475,0.9131191336436619,0.4782608695652174
Sepsis,2,a,1.5,heuristic,0.8022736181889455,0.8853190602133403,0.8311565457943786,0.4409448818897638
Sepsis,2,a,1.5,inductive,0.24522140853936125,1.0,0.874011379780713,0.6153846153846154
Sepsis,2,a,2.0,alpha,0.44197365108668285,0.2657032591685911,0.9131112131124741,0.4782608695652174
Sepsis,2,a,2.0,heuristic,0.8034985880138061,0.8852925103105522,0.8312632160853309,0.4409448818897638
Sepsis,2,a,2.0,inductive,0.24551544913008994,1.0,0.8617664879192644,0.6149068322981366
Sepsis,2,i,0.5,alpha,0.32802874743326493,0.3181534753828081,0.7705892405637035,0.5294117647058824
Sepsis,2,i,0.5,heuristic,0.7158646322378717,0.892898151916274,0.7891098414347855,0.43846153846153846
Sepsis,2,i,0.5,inductive,0.23109940016719055,1.0,0.851632257450022,0.6184971098265897
Sepsis,2,i,1.0,alpha,0.2622987053994317,0.17700161513385881,0.6224229546349171,0.673469387755102
Sepsis,2,i,1.0,heuristic,0.8092678405931418,0.8836256586039593,0.7210622176493275,0.4444444444444444
Sepsis,2,i,1.0,inductive,0.18504699666086277,1.0,0.8029212387928168,0.6265560165975104
Sepsis,2,i,1.5,alpha,0.2318313228990131,0.17829840632695365,0.5077035672774526,0.836734693877551
Sepsis,2,i,1.5,heuristic,0.8038108277711221,0.8836483775088965,0.6571865139528783,0.4533762057877813
Sepsis,2,i,1.5,inductive,0.16443355697578832,1.0,0.7318769113516205,0.6137339055793992
Sepsis,2,i,2.0,alpha,0.21180148495506057,0.17839904636635762,0.44725059196124717,0.8888888888888888
Sepsis,2,i,2.0,heuristic,0.8003182179793158,0.8837224793120719,0.6137902261785662,0.45508982035928147
Sepsis,2,i,2.0,inductive,0.1562055724996051,1.0,0.6949559968380635,0.6186770428015564
Sepsis,2,s,0.5,alpha,0.2982741547602207,0.24992890333850504,0.6087803987510283,0.5714285714285714
Sepsis,2,s,0.5,heuristic,0.6190368935537637,0.896896563388554,0.758289235500282,0.4243542435424354
Sepsis,2,s,0.5,inductive,0.190053802530173,0.9999870476387845,0.813025884300358,0.6153846153846154
Sepsis,2,s,1.0,alpha,0.36511426091987276,0.23637952893223418,0.4525504925388003,0.605263157894737
Sepsis,2,s,1.0,heuristic,0.6605914972273568,0.9000067691142722,0.6781036826013014,0.43333333333333335
Sepsis,2,s,1.0,inductive,0.16650274142611388,0.9999769071784036,0.735731558812458,0.6126482213438735
Sepsis,2,s,1.5,alpha,0.2715580778301887,0.21760096989387256,0.36095366444657073,0.9032258064516129
Sepsis,2,s,1.5,heuristic,0.6327781715095677,0.8998236280358314,0.6123359922232924,0.4337349397590362
Sepsis,2,s,1.5,inductive,0.1420387116680908,0.9991111450878654,0.6709096469620839,0.6109215017064847
Sepsis,2,s,2.0,alpha,0.23973460903240507,0.19581744146033858,0.33058168783468744,1.0
Sepsis,2,s,2.0,heuristic,0.5863405023805615,0.9010793323184456,0.5638935774423877,0.43935309973045816
Sepsis,2,s,2.0,inductive,0.15131913845036493,0.9990340661611066,0.6226489860182574,0.5975232198142414
Sepsis,2,o,0.5,alpha,0.44241915161696765,0.26588961197193384,0.9131789227698267,0.4782608695652174
Sepsis,2,o,0.5,heuristic,0.7043343653250773,0.8967925342550802,0.8419511801856743,0.4331983805668016
Sepsis,2,o,0.5,inductive,0.2573954537669716,1.0,0.9024534736155712,0.6223776223776223
Sepsis,2,o,1.0,alpha,0.39376985444028256,0.23903404154734348,0.9131789227698267,0.5121951219512195
Sepsis,2,o,1.0,heuristic,0.704154450406594,0.8967840352332279,0.842875205936012,0.4331983805668016
Sepsis,2,o,1.0,inductive,0.26312838181565923,1.0,0.9024564072028467,0.6164383561643836
Sepsis,2,o,1.5,alpha,0.36267200400300226,0.23996924544528936,0.9131789227698267,0.4782608695652174
Sepsis,2,o,1.5,heuristic,0.7990643274853801,0.8855031730158408,0.8311141969145742,0.4409448818897638
Sepsis,2,o,1.5,inductive,0.26818605027729425,1.0,0.9024564072028467,0.6164383561643836
Sepsis,2,o,2.0,alpha,0.3625719289467101,0.21172504890278487,0.9131789227698267,0.5238095238095238
Sepsis,2,o,2.0,heuristic,0.8073611878998499,0.8884721004354861,0.8317007571045836,0.444015444015444
Sepsis,2,o,2.0,inductive,0.2674586741008942,1.0,0.9024564072028467,0.6164383561643836
Sepsis,2,i-a-o-s,0.5,alpha,0.4435368421052631,0.24191174661413228,0.6655554689551151,0.53125
Sepsis,2,i-a-o-s,0.5,heuristic,0.6840065583544492,0.8999166934162086,0.757757121094653,0.4444444444444444
Sepsis,2,i-a-o-s,0.5,inductive,0.19486256977328642,1.0,0.8194330755752824,0.6205128205128204
Sepsis,2,i-a-o-s,1.0,alpha,0.44301455126587597,0.24178988398070395,0.6366080091923779,0.5223880597014926
Sepsis,2,i-a-o-s,1.0,heuristic,0.6802634165519953,0.8999073586627129,0.7487553219327183,0.44322344322344326
Sepsis,2,i-a-o-s,1.0,inductive,0.19450145242165495,1.0,0.8103069640505006,0.62
Sepsis,2,i-a-o-s,1.5,alpha,0.3544069366108258,0.23221859868714412,0.5052717436157448,0.6103896103896105
Sepsis,2,i-a-o-s,1.5,heuristic,0.6775316145475934,0.8993954922014117,0.6747974667782302,0.46179401993355484
Sepsis,2,i-a-o-s,1.5,inductive,0.19592042198377113,1.0,0.742386865650392,0.649122807017544
Sepsis,2,i-a-o-s,2.0,alpha,0.278700408593647,0.2447919967031184,0.4152639137947626,0.6170212765957447
Sepsis,2,i-a-o-s,2.0,heuristic,0.5972905341271896,0.9024727690369101,0.609315033166168,0.45882352941176474
Sepsis,2,i-a-o-s,2.0,inductive,0.17052566648612866,0.9999694900940426,0.7137762292823024,0.6349206349206349
Sepsis,3,a,0.5,alpha,0.44205756482336156,0.26576152225921107,0.913163575771589,0.4782608695652174
Sepsis,3,a,0.5,heuristic,0.7526461390425788,0.8955543600361702,0.8435273317995866,0.4365079365079365
Sepsis,3,a,0.5,inductive,0.25339389638041165,1.0,0.8668007907156092,0.605095541401274
Sepsis,3,a,1.0,alpha,0.441835108613604,0.26581419561603453,0.9131536817937347,0.4782608695652174
Sepsis,3,a,1.0,heuristic,0.7124366600572813,0.8973330733600473,0.8422915888657292,0.4331983805668016
Sepsis,3,a,1.0,inductive,0.2533939221811985,1.0,0.8800450304997541,0.605095541401274
Sepsis,3,a,1.5,alpha,0.44244604316546765,0.26587745248794775,0.9131459801722366,0.4782608695652174
Sepsis,3,a,1.5,heuristic,0.7137972868644535,0.8968833914677803,0.8429928719718215,0.4331983805668016
Sepsis,3,a,1.5,inductive,0.2531054312372857,1.0,0.8903952399874131,0.605095541401274
Sepsis,3,a,2.0,alpha,0.44222408026755855,0.2660370420739436,0.9128761185716006,0.4782608695652174
Sepsis,3,a,2.0,heuristic,0.8072990404278748,0.8894564050814084,0.8302490457447371,0.444015444015444
Sepsis,3,a,2.0,inductive,0.259583501464938,1.0,0.8781783097571945,0.6097560975609756
Sepsis,3,i,0.5,alpha,0.3240107568190549,0.23738493027499913,0.6367414806918477,0.48571428571428577
Sepsis,3,i,0.5,heuristic,0.7170620437956204,0.900583064114026,0.7450204993364207,0.4357142857142857
Sepsis,3,i,0.5,inductive,0.17630033588995608,0.9999872716858652,0.8184746075449156,0.6153846153846154
Sepsis,3,i,1.0,alpha,0.24209196854009984,0.2373313399442445,0.5343709345657419,0.6060606060606061
Sepsis,3,i,1.0,heuristic,0.6498531054744072,0.9006322651812767,0.6850114196193147,0.43999999999999995
Sepsis,3,i,1.0,inductive,0.14695386908521335,0.9999618834650471,0.7561513759169328,0.5964912280701755
Sepsis,3,i,1.5,alpha,0.2285311041146455,0.21472482404807652,0.49210759280996497,0.605263157894737
Sepsis,3,i,1.5,heuristic,0.6635499981224888,0.8966772959491026,0.6307465283824589,0.44891640866873067
Sepsis,3,i,1.5,inductive,0.1515913600848815,0.9999315378553039,0.7232915735776455,0.6000000000000001
Sepsis,3,i,2.0,alpha,0.21572043451526957,0.246603411647021,0.4628965098382736,0.5652173913043479
Sepsis,3,i,2.0,heuristic,0.649681996985405,0.8967298953068332,0.6100180522517102,0.4464285714285714
Sepsis,3,i,2.0,inductive,0.14207055388449097,0.9999315639589963,0.7084995631773912,0.5932203389830509
Sepsis,3,s,0.5,alpha,0.2444496016090354,0.2747938907918042,0.5847509741734214,0.52
Sepsis,3,s,0.5,heuristic,0.6917999492256919,0.8930488107281939,0.7074274467454988,0.43971631205673756
Sepsis,3,s,0.5,inductive,0.16940110430593147,1.0,0.7718057523896192,0.6000000000000001
Sepsis,3,s,1.0,alpha,0.12263164012553762,0.2657648128395693,0.466024263033737,0.6049382716049383
Sepsis,3,s,1.0,heuristic,0.6302173913043478,0.8980324097585546,0.6047422389321422,0.4495412844036697
Sepsis,3,s,1.0,inductive,0.1527159394479074,1.0,0.7189943378135097,0.6212121212121212
Sepsis,3,s,1.5,alpha,0.1729611384783799,0.26621551672475935,0.4259815878351265,0.5955056179775281
Sepsis,3,s,1.5,heuristic,0.6261850555574433,0.897192412717994,0.5704955136092418,0.4482758620689655
Sepsis,3,s,1.5,inductive,0.13837548025665924,1.0,0.6923980708370693,0.6237623762376238
Sepsis,3,s,2.0,alpha,0.1489316541672563,0.30513291792620245,0.36511764212555187,0.6818181818181818
Sepsis,3,s,2.0,heuristic,0.5881265144751945,0.8971995987131416,0.5460246920321159,0.44297082228116713
Sepsis,3,s,2.0,inductive,0.12650838080478943,1.0,0.6552805655421741,0.6242424242424242
Sepsis,3,o,0.5,alpha,0.44241915161696765,0.26582965941004616,0.9131789227698267,0.4782608695652174
Sepsis,3,o,0.5,heuristic,0.7050862499306673,0.8967024352608992,0.8416205018567109,0.4331983805668016
Sepsis,3,o,0.5,inductive,0.25194257488662297,1.0,0.9024564072028467,0.6164383561643836
Sepsis,3,o,1.0,alpha,0.4883720930232558,0.25851372987159105,0.9131789227698267,0.40625
Sepsis,3,o,1.0,heuristic,0.7350742549586364,0.9015528458212436,0.7920843504841287,0.4427480916030534
Sepsis,3,o,1.0,inductive,0.3054438696291877,1.0,0.9015968647868668,0.6000000000000001
Sepsis,3,o,1.5,alpha,0.442366026289181,0.22914902904620615,0.9131789227698267,0.4098360655737705
Sepsis,3,o,1.5,heuristic,0.6867101062666725,0.905120072888169,0.7942230770077916,0.44029850746268656
Sepsis,3,o,1.5,inductive,0.2984668363148366,1.0,0.8996779520859828,0.5945945945945946
Sepsis,3,o,2.0,alpha,0.4421424962102072,0.2522681449051091,0.9131789227698267,0.40625
Sepsis,3,o,2.0,heuristic,0.6854099362612416,0.9054157556625801,0.7942206578559315,0.44029850746268656
Sepsis,3,o,2.0,inductive,0.2987301547109614,1.0,0.8996779520859828,0.5945945945945946
Sepsis,3,i-a-o-s,0.5,alpha,0.4426422388436003,0.2911970622582686,0.9131716304033168,0.4693877551020408
Sepsis,3,i-a-o-s,0.5,heuristic,0.7045391717808371,0.8967106669861981,0.8412299313533389,0.4331983805668016
Sepsis,3,i-a-o-s,0.5,inductive,0.24301345880293246,1.0,0.8800846787871249,0.625
Sepsis,3,i-a-o-s,1.0,alpha,0.37303498088089504,0.19424957371946416,0.8594503825968962,0.5897435897435898
Sepsis,3,i-a-o-s,1.0,heuristic,0.7880092236740969,0.8855223113764084,0.8200254876945688,0.43968871595330733
Sepsis,3,i-a-o-s,1.0,inductive,0.2239651657954752,1.0,0.8553583803697163,0.6228571428571429
Sepsis,3,i-a-o-s,1.5,alpha,0.3876549269849061,0.183080781764625,0.7689783621475739,0.5652173913043479
Sepsis,3,i-a-o-s,1.5,heuristic,0.8022256655867024,0.8890792151724684,0.8014740421959312,0.44150943396226416
Sepsis,3,i-a-o-s,1.5,inductive,0.21625029030224607,1.0,0.8346097500412276,0.6256684491978609
Sepsis,3,i-a-o-s,2.0,alpha,0.3042220936957779,0.1304630265082145,0.5844209948189625,0.6923076923076922
Sepsis,3,i-a-o-s,2.0,heuristic,0.7249458805552018,0.8890412675699348,0.745815162846349,0.4448398576512455
Sepsis,3,i-a-o-s,2.0,inductive,0.18140200050957922,1.0,0.7881332666881802,0.6221198156682027
Sepsis,4,a,0.5,alpha,0.44241915161696765,0.26578587910314716,0.9131664572175164,0.4782608695652174
Sepsis,4,a,0.5,heuristic,0.7049325370493253,0.8967496642233772,0.8419715630573431,0.4331983805668016
Sepsis,4,a,0.5,inductive,0.24668272983337292,1.0,0.869655109963456,0.6103896103896105
Sepsis,4,a,1.0,alpha,0.44179805434417985,0.2659208219466438,0.9131603775301299,0.4782608695652174
Sepsis,4,a,1.0,heuristic,0.7047966401414677,0.8967405098976955,0.8427289307146298,0.4331983805668016
Sepsis,4,a,1.0,inductive,0.24666130967201616,1.0,0.8846888490713513,0.6103896103896105
Sepsis,4,a,1.5,alpha,0.44179805434417985,0.26603122383055894,0.9128738394269725,0.4782608695652174
Sepsis,4,a,1.5,heuristic,0.7057258466825564,0.8966076980519803,0.8430753795499247,0.4331983805668016
Sepsis,4,a,1.5,inductive,0.24822017513931538,1.0,0.8760469322879842,0.605095541401274
Sepsis,4,a,2.0,alpha,0.4415758591785415,0.2659717466887741,0.9128671739397745,0.4782608695652174
Sepsis,4,a,2.0,heuristic,0.7057746713263437,0.8965685922381931,0.8436740446104104,0.4331983805668016
Sepsis,4,a,2.0,inductive,0.24801411175600319,1.0,0.8794994487852237,0.605095541401274
Sepsis,4,i,0.5,alpha,0.22907273616166002,0.2054061176676531,0.6089611496532832,0.673469387755102
Sepsis,4,i,0.5,heuristic,0.5911961197034867,0.9028293470147171,0.7463845768698198,0.44250871080139376
Sepsis,4,i,0.5,inductive,0.1740196385537136,1.0,0.8087437893417786,0.6318407960199005
Sepsis,4,i,1.0,alpha,0.2893519578658118,0.18077688703535016,0.4969346266646293,0.8039215686274508
Sepsis,4,i,1.0,heuristic,0.5647567829849177,0.9028587690840089,0.6801621650885297,0.45161290322580644
Sepsis,4,i,1.0,inductive,0.14862936886600264,1.0,0.7691742399538161,0.631578947368421
Sepsis,4,i,1.5,alpha,0.2763416874425928,0.19913287838834032,0.44720216980819605,0.7272727272727273
Sepsis,4,i,1.5,heuristic,0.5824719755422915,0.895980989541572,0.6154631422489527,0.45508982035928147
Sepsis,4,i,1.5,inductive,0.13621644567203306,1.0,0.7110443405889572,0.627906976744186
Sepsis,4,i,2.0,alpha,0.25200430776594474,0.19913698065915975,0.41094377757083755,0.7846153846153847
Sepsis,4,i,2.0,heuristic,0.5871789589342123,0.8959105067244908,0.5985241059094188,0.4518950437317784
Sepsis,4,i,2.0,inductive,0.2289012455304782,1.0,0.6808725612671391,0.6258992805755395
Sepsis,4,s,0.5,alpha,0.3457851890756303,0.25958555906543584,0.6641270386277327,0.6000000000000001
Sepsis,4,s,0.5,heuristic,0.7027742992004624,0.8967355509099928,0.7784030746056011,0.4318181818181818
Sepsis,4,s,0.5,inductive,0.17934929311333803,1.0,0.8179757372714376,0.607843137254902
Sepsis,4,s,1.0,alpha,0.2689577694939488,0.1743713807047168,0.5567877695666184,0.6610169491525424
Sepsis,4,s,1.0,heuristic,0.664329377921611,0.8892563465693957,0.6970282800992645,0.436426116838488
Sepsis,4,s,1.0,inductive,0.16508001223116908,1.0,0.7869542912996117,0.6267942583732058
Sepsis,4,s,1.5,alpha,0.27652775345823843,0.16427241844329155,0.46534715018692585,0.6857142857142856
Sepsis,4,s,1.5,heuristic,0.668609793358527,0.8941315908090572,0.6356242461110935,0.4472049689440994
Sepsis,4,s,1.5,inductive,0.15485449504898396,0.9999875726997067,0.7355342588535442,0.6065573770491803
Sepsis,4,s,2.0,alpha,0.25199457475666187,0.16453628689231126,0.3838783874998838,0.7435897435897437
Sepsis,4,s,2.0,heuristic,0.6356070063935233,0.8941988739142193,0.5946017747852889,0.45294117647058824
Sepsis,4,s,2.0,inductive,0.13399633531329747,0.9999416513598276,0.6913081948361451,0.6057347670250895
Sepsis,4,o,0.5,alpha,0.44241915161696765,0.26582965941004616,0.9131789227698267,0.4782608695652174
Sepsis,4,o,0.5,heuristic,0.7994240348692403,0.8855266776747726,0.8299783829590821,0.4409448818897638
Sepsis,4,o,0.5,inductive,0.28966412939420105,1.0,0.9037604627188536,0.6158940397350994
Sepsis,4,o,1.0,alpha,0.4421962891444883,0.26582965941004616,0.9131789227698267,0.4782608695652174
Sepsis,4,o,1.0,heuristic,0.799517847422039,0.8862071856641502,0.8299109974832419,0.4409448818897638
Sepsis,4,o,1.0,inductive,0.2907441502359991,1.0,0.9062279074148027,0.6258064516129032
Sepsis,4,o,1.5,alpha,0.4421962891444883,0.26582965941004616,0.9131789227698267,0.4782608695652174
Sepsis,4,o,1.5,heuristic,0.7275216227988301,0.8997506328658873,0.8297507629181007,0.43873517786561267
Sepsis,4,o,1.5,inductive,0.2924343867166578,1.0,0.9062279074148027,0.6258064516129032
Sepsis,4,o,2.0,alpha,0.4421962891444883,0.2657697068481584,0.9131789227698267,0.4782608695652174
Sepsis,4,o,2.0,heuristic,0.7274707493154096,0.8996914650080947,0.8316501186012563,0.43873517786561267
Sepsis,4,o,2.0,inductive,0.2815218994248636,1.0,0.9037642455776033,0.6158940397350994
Sepsis,4,i-a-o-s,0.5,alpha,0.4872791192524748,0.2607279472623521,0.7307457613089061,0.5357142857142857
Sepsis,4,i-a-o-s,0.5,heuristic,0.7303506650544136,0.8998114757730689,0.764451040858438,0.45112781954887216
Sepsis,4,i-a-o-s,0.5,inductive,0.1905444429838139,1.0,0.8536428603983406,0.627906976744186
Sepsis,4,i-a-o-s,1.0,alpha,0.44142785319255906,0.29296448715676165,0.6089537211950726,0.5692307692307693
Sepsis,4,i-a-o-s,1.0,heuristic,0.8206856702619414,0.8890181399152134,0.7232489801849542,0.46289752650176674
Sepsis,4,i-a-o-s,1.0,inductive,0.18738720288760613,1.0,0.8142273741604987,0.6373056994818652
Sepsis,4,i-a-o-s,1.5,alpha,0.4036472300973105,0.2929197798341339,0.5412886092633699,0.6176470588235294
Sepsis,4,i-a-o-s,1.5,heuristic,0.8102009859689041,0.8889687565749198,0.6996843847679951,0.4689655172413793
Sepsis,4,i-a-o-s,1.5,inductive,0.17883391291969175,1.0,0.7846251739195399,0.6435643564356437
Sepsis,4,i-a-o-s,2.0,alpha,0.27146642242648267,0.21681369970191566,0.480891758429134,0.8214285714285714
Sepsis,4,i-a-o-s,2.0,heuristic,0.8008125,0.8895699386858918,0.6593951225136305,0.47058823529411764
Sepsis,4,i-a-o-s,2.0,inductive,0.16502755946686087,1.0,0.7412357902592941,0.6309012875536479
Sepsis,5,a,0.5,alpha,0.44272627951928734,0.26598311252511847,0.9131762484140332,0.4782608695652174
Sepsis,5,a,0.5,heuristic,0.7084092540445033,0.8967312957942642,0.8416413554583044,0.4331983805668016
Sepsis,5,a,0.5,inductive,0.25375805505034954,1.0,0.8863847148338042,0.6216216216216216
Sepsis,5,a,1.0,alpha,0.44232706514439224,0.2660821071690755,0.9131691637920422,0.4782608695652174
Sepsis,5,a,1.0,heuristic,0.8132923852271833,0.888596136990709,0.8301702015183514,0.444015444015444
Sepsis,5,a,1.0,inductive,0.2477862031751441,1.0,0.8698620179418263,0.605095541401274
Sepsis,5,a,1.5,alpha,0.5337319969679104,0.25552256061796713,0.913125492095982,0.45833333333333337
Sepsis,5,a,1.5,heuristic,0.8115911186777328,0.8855484335995152,0.8202639556431492,0.43968871595330733
Sepsis,5,a,1.5,inductive,0.2506102568140657,1.0,0.8614023312791554,0.6097560975609756
Sepsis,5,a,2.0,alpha,0.5332828410334091,0.25536365631121616,0.9131106996216274,0.45833333333333337
Sepsis,5,a,2.0,heuristic,0.8423274042809767,0.8813843424103783,0.8230047069940173,0.4427480916030534
Sepsis,5,a,2.0,inductive,0.25020258863252676,1.0,0.8681170867209272,0.6097560975609756
Sepsis,5,i,0.5,alpha,0.4437236731255265,0.253679737255048,0.6352612918548906,0.4318181818181818
Sepsis,5,i,0.5,heuristic,0.650823618256478,0.903869044929932,0.7786931289114652,0.44322344322344326
Sepsis,5,i,0.5,inductive,0.18070737398489578,1.0,0.8356125987061703,0.62
Sepsis,5,i,1.0,alpha,0.2383020880963268,0.27180150677231374,0.4749158500145936,0.5268817204301075
